Node1,Node2,Type,Gnarl,Route
Girdlestone,Adkin,Track,Unknown,TSK
Adkin,NorthKing,Track,Unknown,TSK
NorthKing,MiddleKing,Track,Unknown,TSK
SouthKing,MiddleKing,Track,Unknown,TSK
Girdlestone,Dorset,Track,Unknown,NA
DorsetHut,Dorset,Track,Unknown,NA
TarnRidgeHut,Girdlestone,Track,Unknown,TSK:NC
WaiohinePinnacles,TarnRidgeHut,Track,Unknown,TSK:NC
WaiohinePinnacles,AreteForks,Track,Unknown,NA
CowCreek,AreteForks,Track,VeryGnarly,NA
CowCreek,MitreFlats,Track,Unknown,SKV
Kiriwhakapapa,Mikimiki,Track,Unknown,NA
CowCreek,TeMara,Track,Gnarly,NA
TeMara,BlueRange,Track,Gnarly,NA
BlueRange,BlueRangeHut,Track,Unknown,NA
BlueRange,Kiriwhakapapa,Track,Gnarly,NA
CowCreek,CowSaddle,Track,Gnarly,SKV
CowCreek,1360,Track,Unknown,NA
Waingawa,1360,Ridge,Unknown,NA
Waingawa,Bannister,Ridge,Unknown,NA
Bannister,1434,Ridge,Unknown,NA
AreteHut,WaiohinePinnacles,Ridge,Unknown,CSK:TSK:NC
AreteHut,Arete,Ridge,Unknown,CSK:TSK
1434,Arete,Ridge,Unknown,CSK:TSK:MSK
Arete,Pukematawai,Ridge,Unknown,CSK:TSK:MSK
Butcher,Pukematawai,Ridge,Unknown,TA:MSK
Butcher,Drac,Track,Unknown,TA:MSK
Puketoro,Drac,Track,Unknown,TA:MSK
Puketoro,Kelleher,Track,Unknown,TA:MSK
Kelleher,Nichols,Track,Unknown,TA:MSK
Nichols,Crawford,Track,Unknown,TA:MSK
Crawford,JctnKnob,Track,Unknown,TA:MSK
Thompson,WaiohinePinnacles,Ridge,Unknown,CSK
Carkeek,Thompson,Ridge,Unknown,CSK
Carkeek,CarkeekHut,Ridge,Unknown,CSK
CarkeekHut,ParkForks,BushBash,Unknown,CSK
ParkForks,DorsetCreek,Gorge,Unknown,CSK
DorsetCreek,McGregorBiv,BushBash,Unknown,CSK
McGregorBiv,AngleKnob,Ridge,Unknown,CSK
